left_context,target_word,target_lemma,p_target_human,p_target_model,n_human_target_matches,n_model_target_matches
В тот момент,атмосфера,атмосфера,0.0,0.0,0,0
Клиенты воровали из ресторана,атрибутику,атрибутику,0.0,0.0,0,0
Ему удалось вскрыть банку об острый край,бампера,бампера,0.0,0.0,0,0
У моего отца был счёт в швейцарском,банке,банке,0.9523809523809523,0.9971401643552508,1,18
Очень хочется заплести,бант,бант,0.0,0.0,0,0
В котёл бросают куски,баранины,баранины,0.0,0.0,0,0
На запись голоса,барса,барса,0.0,0.0,0,0
Ее сын Гриша умер,бездетным,бездетным,0.0,0.0,0,0
Можно будет,бросить,бросить,0.0,0.0,0,0
"Музыканты играли на похоронах, разгружали",вагоны,вагоны,0.3157894736842105,0.0,1,0
Дрозды и сковрцы начали,вить,вить,0.3333333333333333,0.0,1,0
Что может сделать самый сильный,вол,вол,0.0,0.0,0,0
Здесь потребуется,врач,врач,0.0,0.0,0,0
И не надо ставить это целью,всей,всей,0.17647058823529413,0.0,1,0
Какие главные лекарства должны,входить,входить,0.0,0.003252570770194201,0,4
Применение микросхемы,даст,даст,0.05263157894736842,0.0,1,0
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,дом,0.9230769230769231,0.7665600588100571,1,1
С нескрываемой,едкой,едкой,0.0,0.0,0,0
Однако здесь,есть,есть,0.2,0.1714869538739241,2,1
"Тому, кто",желает,желает,0.0,0.0,0,0
В качестве примера приводится,жирность,жирность,0.0,0.0,0,0
Он признаёт право каждого,жить,жить,0.0,0.0,0,0
Вспоминая,журчание,журчание,0.0,0.0,0,0
"Он вскрыл пачку сухарей,",заварил,заварил,0.0,0.0,0,0
Но четыре года я не мог себя,заставить,заставить,0.26666666666666666,0.4386475332037065,1,2
На Ольгу Васильевну было написано,заявление,заявление,0.3333333333333333,0.0631433827831416,1,1
Я знал: их особенно,злило,злило,0.0,0.0,0,0
Очень тогда,злые,злые,0.0,0.0,0,0
Создать настоящие шедевры вам помогут,зоркий,зоркий,0.0,0.0,0,0
Наши власти позволяют себе,излишества,излишества,0.0,0.0,0,0
У нас в Волгограде многие придерживаются,иной,иной,0.014925373134328358,0.0,1,0
Ей никак не суметь,испечь,испечь,0.0,0.0,0,0
Во избежание ожогов надо нанести на лицо небольшое,количество,количество,1.0,0.9937407360414755,1,10
В вопросе послышался упрёк,командиру,командиру,0.0,0.0,0,0
"За углом ― Морской музей, с бесчисленными моделями",кораблей,кораблей,0.8970588235294118,0.6256705420517074,1,5
"Мне нравится сын коллеги,",который,который,0.45977011494252873,0.0582590721562769,6,1
Душа требовала,красоты,красоты,0.0,0.0,0,0
Наше правительство сделало,крен,крен,0.0196078431372549,0.0,1,0
А промывать манную,крупу,крупу,0.3125,0.524153544069485,1,2
Каждое утро на самый верх,крыши,крыши,0.15,0.0,1,0
Убедительно просим вас разборчиво заполнять,купон,купон,0.0,0.0,0,0
На болотах оставался ещё,лед,лед,0.0,0.0,0,0
Дорога ведет в глухой,лес,лес,0.7857142857142857,0.8960099990570877,1,1
На ведущей вниз,лестнице,лестнице,0.0,0.0,0,0
Когда она в самолёте,летела,летела,0.19230769230769232,0.0,2,0
Возможности этих перемен будут обсуждаться в Париже,летом,летом,0.0,0.0,0,0
"Там, недалеко от кухонной двери, сидел",лис,лис,0.0,0.0,0,0
"В багажнике были лопата,",лом,лом,0.016129032258064516,0.0388480593294056,1,2
Старуха была страшной --,лопоухая,лопоухая,0.0,0.0,0,0
Врач прописал заживляющую,мазь,мазь,0.8421052631578947,0.9737849294583797,1,4
В бассейне,микробы,микробы,0.0,0.0,0,0
В резервациях,миссионеры,миссионеры,0.0,0.0,0,0
"Мама брала меня с собой, и мы, сдав",молоко,молоко,0.0,0.0,0,0
Приблизительно в центре тайги,мопед,мопед,0.0,0.0,0,0
Не поручайте,мужу,мужу,0.0,0.0,0,0
В деревнях по-прежнему,мяли,мяли,0.0,0.0,0,0
В числе возможных кандидатов,называют,называют,0.0,0.0,0,0
"Твоё тело расслабляется, и исчезает",напряжение,напряжение,0.2,0.3792472708873959,1,3
Он был очень,неопытным,неопытным,0.0,0.0,0,0
"Они не ели целый день,",несчастные,несчастные,0.0,0.0,0,0
В речи учёного прозвучало,неявное,неявное,0.0,0.0,0,0
Тема эта в то время была,новой,новой,0.0,0.0,0,0
"Существует легенда, что",ноев,ноев,0.0,0.0,0,0
Он ловко поддел концом,ножа,ножа,0.1044776119402985,0.0,1,0
У директора школы был тонкий,нюх,нюх,0.031914893617021274,0.0,1,0
У Пашки,обгорели,обгорели,0.0,0.0,0,0
В конверте вместе с деньгами была,обнаружена,обнаружена,0.0,0.0,0,0
Стала стабильнее экономическая и политическая,обстановка,обстановка,0.14285714285714285,0.15025404600824638,1,4
В современном,обществе,обществе,0.058823529411764705,0.04622700183288907,1,3
Педагог предъявляет,одинаковые,одинаковые,0.0,0.0,0,0
"Я сказал, что русский солдат",омоет,омоет,0.0,0.0,0,0
Старый шкаф,орехового,орехового,0.0,0.0,0,0
В сюжете этого фильма какие-то,осы,осы,0.0,0.0,0,0
Ирине досталась,отдельная,отдельная,0.0,0.0,0,0
На газовой плите стояла,открытая,открытая,0.0,0.0,0,0
"Я люблю салат из картошки с зеленью, заправленный",пахучим,пахучим,0.0,0.0,0,0
Ненужный коврик из твёрдой,пластмассы,пластмассы,0.07692307692307693,0.0,1,0
Что ты хочешь чтобы тебе,повторили,повторили,0.0,0.0,0,0
"Журналист взял карандаш,",подвинул,подвинул,0.0,0.0,0,0
У мамы есть,подруга,подруга,0.037037037037037035,0.018976607158836565,1,5
Отвернув цветастое,покрывало,покрывало,0.29411764705882354,2.8710524373845365e-06,1,1
"У тебя впереди замечательный день,",полный,полный,0.0,0.1806014288205767,0,5
Этот студент,получает,получает,0.0,0.0,0,0
"Она почти не изменилась, только слегка",пополнела,пополнела,0.0625,0.0,1,0
Перед ним снова была,прежняя,прежняя,0.0,0.0,0,0
Торговля продуктами питания является одной из самых,прибыльных,прибыльных,0.3076923076923077,0.07520319339196764,1,6
