left_context,target_word,answer,lemma_answer,probability_y
У моего отца был счёт в швейцарском,банке,к,к,0.047619047619047616
У моего отца был счёт в швейцарском,банке,банке,банк,0.9523809523809523
Во избежание ожогов надо нанести на лицо небольшое,количество,количество,количество,1.0
Причиной аварии был мобильный,телефон,звонок,звонок,0.03125
Причиной аварии был мобильный,телефон,телефон,телефон,0.96875
Врач прописал заживляющую,мазь,ы,ы,0.05263157894736842
Врач прописал заживляющую,мазь,салфетку,салфетка,0.05263157894736842
Врач прописал заживляющую,мазь,настойку,настойка,0.05263157894736842
Врач прописал заживляющую,мазь,мазь,мазь,0.8421052631578947
Этот роман захватывает читателя с первой,страницы,строчки,строчка,0.11764705882352941
Этот роман захватывает читателя с первой,страницы,строки,строка,0.11764705882352941
Этот роман захватывает читателя с первой,страницы,страницы,страница,0.7647058823529411
Судя по огромному,расходу,опыту,опыт,0.07518796992481203
Судя по огромному,расходу,желанию,желание,0.03007518796992481
Судя по огромному,расходу,размеру,размер,0.08270676691729323
Судя по огромному,расходу,выбору,выбор,0.022556390977443608
Судя по огромному,расходу,чемодану,чемодан,0.022556390977443608
Судя по огромному,расходу,числу,число,0.06015037593984962
Судя по огромному,расходу,напряжению,напряжение,0.015037593984962405
Судя по огромному,расходу,миру,мир,0.015037593984962405
Судя по огромному,расходу,спросу,спрос,0.015037593984962405
Судя по огромному,расходу,наплыву,наплыв,0.007518796992481203
Судя по огромному,расходу,росту,рост,0.03007518796992481
Судя по огромному,расходу,прыщу,прыща,0.007518796992481203
Судя по огромному,расходу,шару,шар,0.007518796992481203
Судя по огромному,расходу,объему,объем,0.007518796992481203
Судя по огромному,расходу,интересу,интерес,0.03007518796992481
Судя по огромному,расходу,носу,нос,0.015037593984962405
Судя по огромному,расходу,вкладу,вклад,0.015037593984962405
Судя по огромному,расходу,саду,сад,0.007518796992481203
Судя по огромному,расходу,снами,сонми,0.007518796992481203
Судя по огромному,расходу,урожаю,урожай,0.007518796992481203
Судя по огромному,расходу,расстоянию,расстояние,0.015037593984962405
Судя по огромному,расходу,влиянию,влияние,0.015037593984962405
Судя по огромному,расходу,стечению,стечение,0.007518796992481203
Судя по огромному,расходу,облаку,облако,0.007518796992481203
Судя по огромному,расходу,восхищению,восхищение,0.007518796992481203
Судя по огромному,расходу,животу,живот,0.007518796992481203
Судя по огромному,расходу,чемодан,чемодан,0.007518796992481203
Судя по огромному,расходу,пространству,пространство,0.007518796992481203
