left_context,target_word,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200
У моего отца был счёт в швейцарском,банке,2,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523
Во избежание ожогов надо нанести на лицо небольшое,количество,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Причиной аварии был мобильный,телефон,2,0.5,0.96875,0.5,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Врач прописал заживляющую,мазь,4,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947
Этот роман захватывает читателя с первой,страницы,3,0.6666666666666666,0.8823529411764706,0.6666666666666666,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Судя по огромному,расходу,41,0.12195121951219512,0.46616541353383456,0.09523809523809523,0.44360902255639095,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.12195121951219512,0.46616541353383456,0.11904761904761904,0.46616541353383456
Какие главные лекарства должны,входить,12,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868,0.25,0.7540983606557377,0.21428571428571427,0.7377049180327868
Дорога ведет в глухой,лес,15,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476
На газовой плите стояла,открытая,5,0.4,0.8852459016393442,0.4,0.8852459016393442,0.6,0.9344262295081966,0.6,0.9344262295081966,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492
В современном,обществе,3,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
В конверте вместе с деньгами была,обнаружена,16,0.125,0.7058823529411764,0.125,0.7058823529411764,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,7,0.2857142857142857,0.9358974358974359,0.2857142857142857,0.9358974358974359,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488,0.42857142857142855,0.9487179487179488
Стала стабильнее экономическая и политическая,обстановка,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Власть судов была такой,узкой,13,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997
Ей хотелось выплеснуть чай на бежевый,юлин,14,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264
Шею Лизы украшало ожерелье,стоимостью,3,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
"За углом ― Морской музей, с бесчисленными моделями",кораблей,5,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942
От внимания наблюдателя не должна,ускользать,15,0.3333333333333333,0.22448979591836735,0.3333333333333333,0.22448979591836735,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918,0.4666666666666667,0.3061224489795918
В числе возможных кандидатов,называют,5,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471
