word_id,left_context,n_human_respondents,n_human_unique_answers,human_accuracy,match_at_1,weighted_match_at_1,match_at_5,weighted_match_at_5,match_at_10,weighted_match_at_10,match_at_20,weighted_match_at_20,match_at_50,weighted_match_at_50,match_at_100,weighted_match_at_100,match_at_200,weighted_match_at_200,match_at_500,weighted_match_at_500,match_at_1000,weighted_match_at_1000
банке,У моего отца был счёт в швейцарском,21,2,0.9523809523809523,0.0,0.0,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523,0.5,0.9523809523809523
количество,Во избежание ожогов надо нанести на лицо небольшое,15,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
телефон,Причиной аварии был мобильный,64,2,0.96875,0.5,0.96875,0.5,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
мазь,Врач прописал заживляющую,19,4,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947
страницы,Этот роман захватывает читателя с первой,17,3,0.7647058823529411,0.3333333333333333,0.7647058823529411,0.6666666666666666,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
расходу,Судя по огромному,133,42,0.0,0.023809523809523808,0.3458646616541353,0.09523809523809523,0.44360902255639095,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456,0.11904761904761904,0.46616541353383456
входить,Какие главные лекарства должны,61,14,0.0,0.07142857142857142,0.6721311475409836,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868,0.21428571428571427,0.7377049180327868
лес,Дорога ведет в глухой,84,15,0.7857142857142857,0.06666666666666667,0.7857142857142857,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476,0.13333333333333333,0.7976190476190476
открытая,На газовой плите стояла,61,5,0.0,0.2,0.8688524590163934,0.4,0.8852459016393442,0.6,0.9344262295081966,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492,0.8,0.9836065573770492
обществе,В современном,17,3,0.058823529411764705,0.3333333333333333,0.8823529411764706,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
обнаружена,В конверте вместе с деньгами была,51,16,0.0,0.0625,0.5686274509803921,0.125,0.7058823529411764,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313,0.1875,0.7254901960784313
дом,"Выходя замуж, ты надеялась обрести спокойствие, уютный",78,7,0.9230769230769231,0.14285714285714285,0.9230769230769231,0.2857142857142857,0.9358974358974359,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487,0.42857142857142855,0.9487179487179487
обстановка,Стала стабильнее экономическая и политическая,14,3,0.14285714285714285,0.3333333333333333,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
узкой,Власть судов была такой,20,13,0.0,0.0,0.0,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997,0.23076923076923078,0.39999999999999997
юлин,Ей хотелось выплеснуть чай на бежевый,53,14,0.0,0.07142857142857142,0.1509433962264151,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264,0.21428571428571427,0.2641509433962264
стоимостью,Шею Лизы украшало ожерелье,16,3,0.0,0.3333333333333333,0.875,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
кораблей,"За углом ― Морской музей, с бесчисленными моделями",68,5,0.8970588235294118,0.2,0.8970588235294118,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942,0.4,0.9264705882352942
ускользать,От внимания наблюдателя не должна,49,15,0.04081632653061224,0.06666666666666667,0.10204081632653061,0.3333333333333333,0.22448979591836735,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184,0.4666666666666667,0.30612244897959184
называют,В числе возможных кандидатов,17,5,0.0,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471
центре,"Зоопарк ― это кусочек другого мира, находящийся в самом",19,5,0.631578947368421,0.2,0.631578947368421,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947
снег,Мне было лень идти на стоянку и сметать,78,19,0.4358974358974359,0.05263157894736842,0.4358974358974359,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257,0.21052631578947367,0.5256410256410257
шлейф,За министром труда тянется целый,16,7,0.25,0.14285714285714285,0.25,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625
крупу,А промывать манную,16,3,0.3125,0.3333333333333333,0.3125,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
соринку,Если я еще увижу здесь хоть,88,13,0.011363636363636364,0.07692307692307693,0.10227272727272728,0.3076923076923077,0.7386363636363636,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727,0.46153846153846156,0.7727272727272727
лед,На болотах оставался ещё,130,53,0.0,0.018867924528301886,0.2692307692307692,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385,0.07547169811320754,0.3384615384615385
ухо,"Сделав мне знак помолчать, он приложил",93,17,0.08602150537634409,0.058823529411764705,0.45161290322580644,0.23529411764705882,0.7741935483870968,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399,0.29411764705882354,0.7849462365591399
рот,Ваня раскрыл было,109,32,0.22935779816513763,0.03125,0.22935779816513763,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616,0.09375,0.29357798165137616
заставить,Но четыре года я не мог себя,15,10,0.26666666666666666,0.1,0.26666666666666666,0.2,0.4,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667
летом,Возможности этих перемен будут обсуждаться в Париже,21,10,0.0,0.1,0.5714285714285714,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191,0.2,0.6190476190476191
покрывало,Отвернув цветастое,17,7,0.29411764705882354,0.0,0.0,0.42857142857142855,0.7647058823529412,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529411
пахучим,"Я люблю салат из картошки с зеленью, заправленный",89,9,0.0,0.1111111111111111,0.0449438202247191,0.4444444444444444,0.4606741573033708,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.9662921348314607
купон,Убедительно просим вас разборчиво заполнять,16,9,0.0,0.1111111111111111,0.0625,0.3333333333333333,0.3125,0.5555555555555556,0.75,0.5555555555555556,0.75,0.5555555555555556,0.75,0.5555555555555556,0.75,0.5555555555555556,0.75,0.5555555555555556,0.75,0.5555555555555556,0.75
