left_context,target_word,human_top_pos,model_top_pos,pos_match_at_1,pos_intersection_at_1,pos_intersection_at_2,pos_intersection_at_3,pos_intersection_at_4,pos_intersection_at_5
В тот момент,атмосфера,PRON,PUNCT,0,0.0,0.5,0.3333333333333333,0.5,0.4
Клиенты воровали из ресторана,атрибутику,NOUN,PUNCT,0,0.0,0.0,0.0,0.0,0.0
Ему удалось вскрыть банку об острый край,бампера,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
У моего отца был счёт в швейцарском,банке,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
Очень хочется заплести,бант,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
В котёл бросают куски,баранины,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
На запись голоса,барса,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
Ее сын Гриша умер,бездетным,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.4
Можно будет,бросить,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.6
"Музыканты играли на похоронах, разгружали",вагоны,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
Дрозды и сковрцы начали,вить,VERB,VERB,1,1.0,1.0,1.0,0.75,0.6
Что может сделать самый сильный,вол,NOUN,NOUN,1,1.0,1.0,1.0,0.75,0.8
Здесь потребуется,врач,NOUN,VERB,0,0.0,0.5,0.6666666666666666,0.75,0.6
И не надо ставить это целью,всей,DET,PUNCT,0,0.0,0.5,0.6666666666666666,0.5,0.6
Какие главные лекарства должны,входить,AUX,VERB,0,0.0,0.5,0.6666666666666666,0.5,0.4
Применение микросхемы,даст,ADP,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.4
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
С нескрываемой,едкой,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Однако здесь,есть,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Тому, кто",желает,VERB,PART,0,0.0,0.5,0.3333333333333333,0.5,0.6
В качестве примера приводится,жирность,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
Он признаёт право каждого,жить,NOUN,ADP,0,0.0,1.0,0.6666666666666666,0.5,0.4
