left_context,target_word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOT_FOUND,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB
В тот момент,атмосфера,2.1071442130747984e-06,0.019586294813928484,0.007446107907670794,0,0.0,0.0,0.0,0,7.653507026919016e-08,0.0,1.3072065283104228e-05,0.06285055264298885,0.0,0,0.0003617592686748514,1.3188497723222095e-06
Клиенты воровали из ресторана,атрибутику,1.906242484572072e-05,0.0341796772284203,5.484657330165397e-07,0,0.0517403131823473,0.0,0.0031700858461935,0,0.0026579828260449084,0.0,0.0,9.12778292441036e-06,4.001005983578264e-06,0,0.0,3.171685030977007e-08
Ему удалось вскрыть банку об острый край,бампера,0.0010400056524242517,0.002199461738800372,0.0009414913243079813,0,0.06986107216484161,0.0,0.0039463358764235176,0,0.3292263222922713,0.0,0.0,0.0030313837347528175,0.0,0,0.0,7.372554311878544e-05
У моего отца был счёт в швейцарском,банке,0.0010133180659453102,6.915319741782617e-07,1.4392366035884144e-08,0,0.0,0.0,1.836386501858546e-07,0,1.9938025878192007,6.7984723301574566e-09,0.0,0.0,4.558182190680906e-12,0,0.0,2.367977174543251e-09
Очень хочется заплести,бант,1.7790481920784985e-06,0.0,0.001318576846657923,0,0.0032585427845234,0.0,0.0,0,0.37074281631117106,0.0,0.001299149682084497,0.0565410632546317,0.0,0,0.0,0.00047602954790944296
В котёл бросают куски,баранины,0.00855786063427211,0.0,1.2360255307616679e-08,0,0.0,0.0,0.0,0,0.48272217037324816,0.0,0.0,0.0,0.0,0,0.0,0.0
На запись голоса,барса,0.00021777634609227039,0.0897691442575453,0.003202632218707915,0,0.0780368400026094,0.0,0.0130407071903843,0,0.00027736044604830066,0.0,0.0029515159664777,0.0017724512549639317,0.0,0,0.0,0.0009262451178625588
Ее сын Гриша умер,бездетным,9.27866374261363e-05,0.4371279946621224,0.0007056360844117658,0,0.0025625521337574,0.0,0.0052987658521055,0,0.004121628204939837,0.0,0.0,0.0024973247507812427,0.00010109743341208198,0,0.0,0.00011155374072893328
Можно будет,бросить,9.154958106461857e-07,1.273343287253132e-05,0.0005008460286383739,0,0.0,0.0,0.000712474958277581,0,1.1222845400864285e-05,0.0,5.069133914803495e-05,0.00021494334648170316,0.0,0,0.0,0.09669531036162589
"Музыканты играли на похоронах, разгружали",вагоны,0.001701312135281171,0.0221476468964841,0.0,0,0.036515296534189,0.0,0.0,0,0.2887390440412061,0.0,0.0,0.0,0.0,0,0.0,0.0
Дрозды и сковрцы начали,вить,0.007974121561815073,0.0,1.5540810091886316e-05,0,0.0,0.0697130874323082,0.0,0,0.008693839182265019,0.0,0.0,0.0,0.0,0,0.0,0.25247436591245
Что может сделать самый сильный,вол,0.0033620409555944314,0.055836376110716596,0.0012089808677326038,0,0.066452415739258,0.0002792492450651282,0.0008237642628497,0,0.3826965100480028,0.0,0.0,0.0037200166963409,0.0,0,0.0,0.00044322669946956806
Здесь потребуется,врач,0.031044715453860863,0.0,0.0978993055655978,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1105828555337173
И не надо ставить это целью,всей,0.001101308766344667,4.950372499211533e-05,0.020789822587287836,0,0.0017878138425345,0.0572702136089038,0.0,0,0.06782960157953988,0.0,0.0214440947806654,0.040143597289433015,1.2825372553180017e-07,0,0.005118230532057819,0.00825060720291632
Какие главные лекарства должны,входить,0.0,0.0,0.0060767555080697,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9738378447607018
Применение микросхемы,даст,7.178513477935062e-05,0.0512941045749309,1.9049447484394882e-06,0,0.0,0.0,0.0017462959014469,0,0.008850109116406038,1.811464598680853e-06,0.0,0.0,0.0,0,0.0,0.0005696931564041311
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,0.1437105783339992,0.0,0.0,0,0.0,0.0,0.0,0,0.837122759011784,0.0,0.0381647791934491,0.0,0.0,0,0.0,0.0
