left_context,target_word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOT_FOUND,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB
В тот момент,атмосфера,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0,0.0,0.0,0.125
Клиенты воровали из ресторана,атрибутику,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ему удалось вскрыть банку об острый край,бампера,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0,0.0,0.0,0.0
У моего отца был счёт в швейцарском,банке,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0,0.0,0.0,0.0
Очень хочется заплести,бант,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.05,0,0.05,0.0,0.0
В котёл бросают куски,баранины,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,0.0,0,0.0,0.0,0.1
На запись голоса,барса,0.04,0.18,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.02,0.04,0,0.02,0.0,0.56
Ее сын Гриша умер,бездетным,0.05555555555555555,0.7222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0,0.0,0.0,0.0
Можно будет,бросить,0.015384615384615385,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0,0.0,0.0,0.9384615384615385
"Музыканты играли на похоронах, разгружали",вагоны,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.894736842105263,0.0,0.0,0.05263157894736842,0,0.0,0.0,0.0
Дрозды и сковрцы начали,вить,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8666666666666667
Что может сделать самый сильный,вол,0.009009009009009009,0.036036036036036036,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.9009009009009008,0.0,0.0,0.0,0,0.0,0.0,0.009009009009009009
Здесь потребуется,врач,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.041666666666666664,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.041666666666666664,0,0.0,0.0,0.08333333333333333
И не надо ставить это целью,всей,0.0,0.07352941176470588,0.0,0.0,0.0,0.6911764705882353,0.0,0.0,0.17647058823529413,0.0,0.0,0.014705882352941176,0,0.0,0.014705882352941176,0.029411764705882353
Какие главные лекарства должны,входить,0.0,0.0,0.01639344262295082,0.6885245901639344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.29508196721311475
Применение микросхемы,даст,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0,0.0,0.0,0.42105263157894735
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.9871794871794872,0.0,0.0,0.0,0,0.0,0.0,0.0
С нескрываемой,едкой,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Однако здесь,есть,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0.05,0.0,0.6
"Тому, кто",желает,0.05147058823529412,0.0,0.051470588235294115,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.051470588235294115,0.03676470588235294,0,0.007352941176470588,0.0,0.7867647058823529
