left_context,target_word,lemma,probability
У моего отца был счёт в швейцарском,банке,банк,0.9523809523809523
У моего отца был счёт в швейцарском,банке,к,0.047619047619047616
Во избежание ожогов надо нанести на лицо небольшое,количество,количество,1.0
Причиной аварии был мобильный,телефон,звонок,0.03125
Причиной аварии был мобильный,телефон,телефон,0.96875
Врач прописал заживляющую,мазь,мазь,0.8421052631578947
Врач прописал заживляющую,мазь,настойка,0.05263157894736842
Врач прописал заживляющую,мазь,салфетка,0.05263157894736842
Врач прописал заживляющую,мазь,ы,0.05263157894736842
Этот роман захватывает читателя с первой,страницы,страница,0.7647058823529411
Этот роман захватывает читателя с первой,страницы,строка,0.11764705882352941
Этот роман захватывает читателя с первой,страницы,строчка,0.11764705882352941
Судя по огромному,расходу,вклад,0.015037593984962405
Судя по огромному,расходу,влияние,0.015037593984962405
Судя по огромному,расходу,внимание,0.007518796992481203
Судя по огромному,расходу,возмущение,0.007518796992481203
Судя по огромному,расходу,восхищение,0.007518796992481203
Судя по огромному,расходу,впечатление,0.007518796992481203
Судя по огромному,расходу,все,0.007518796992481203
Судя по огромному,расходу,выбор,0.022556390977443608
Судя по огромному,расходу,желание,0.03007518796992481
Судя по огромному,расходу,живот,0.007518796992481203
Судя по огромному,расходу,жизнь,0.007518796992481203
Судя по огромному,расходу,изобилие,0.007518796992481203
Судя по огромному,расходу,интерес,0.03007518796992481
Судя по огромному,расходу,количество,0.3458646616541353
Судя по огромному,расходу,кратер,0.007518796992481203
Судя по огромному,расходу,мир,0.015037593984962405
Судя по огромному,расходу,наплыв,0.007518796992481203
Судя по огромному,расходу,напряжение,0.015037593984962405
Судя по огромному,расходу,недостаток,0.007518796992481203
Судя по огромному,расходу,нос,0.015037593984962405
Судя по огромному,расходу,облако,0.007518796992481203
Судя по огромному,расходу,объем,0.007518796992481203
Судя по огромному,расходу,опыт,0.07518796992481203
Судя по огромному,расходу,потенциал,0.007518796992481203
Судя по огромному,расходу,пространство,0.007518796992481203
Судя по огромному,расходу,прыща,0.007518796992481203
Судя по огромному,расходу,различие,0.007518796992481203
Судя по огромному,расходу,размер,0.08270676691729323
Судя по огромному,расходу,распространение,0.007518796992481203
Судя по огромному,расходу,расстояние,0.015037593984962405
Судя по огромному,расходу,рост,0.03007518796992481
Судя по огромному,расходу,сад,0.007518796992481203
Судя по огромному,расходу,скопление,0.007518796992481203
Судя по огромному,расходу,след,0.007518796992481203
Судя по огромному,расходу,сонми,0.007518796992481203
Судя по огромному,расходу,спрос,0.015037593984962405
Судя по огромному,расходу,стечение,0.007518796992481203
Судя по огромному,расходу,урожай,0.007518796992481203
Судя по огромному,расходу,чемодан,0.03007518796992481
Судя по огромному,расходу,число,0.06015037593984962
Судя по огромному,расходу,шар,0.007518796992481203
Какие главные лекарства должны,входить,брать,0.01639344262295082
Какие главные лекарства должны,входить,быть,0.6885245901639344
Какие главные лекарства должны,входить,всегда,0.01639344262295082
Какие главные лекарства должны,входить,знать,0.01639344262295082
Какие главные лекарства должны,входить,лежать,0.01639344262295082
Какие главные лекарства должны,входить,находиться,0.04918032786885246
Какие главные лекарства должны,входить,помогать,0.03278688524590164
Какие главные лекарства должны,входить,применять,0.01639344262295082
Какие главные лекарства должны,входить,принимать,0.08196721311475409
Какие главные лекарства должны,входить,провоцировать,0.01639344262295082
Какие главные лекарства должны,входить,продавать,0.03278688524590164
Какие главные лекарства должны,входить,стоять,0.01639344262295082
Дорога ведет в глухой,лес,бор,0.011904761904761904
Дорога ведет в глухой,лес,глухой,0.011904761904761904
Дорога ведет в глухой,лес,забросить,0.011904761904761904
Дорога ведет в глухой,лес,закоулок,0.011904761904761904
Дорога ведет в глухой,лес,зарасти,0.011904761904761904
Дорога ведет в глухой,лес,лес,0.7857142857142857
Дорога ведет в глухой,лес,овраг,0.011904761904761904
Дорога ведет в глухой,лес,переулок,0.023809523809523808
Дорога ведет в глухой,лес,поселок,0.023809523809523808
Дорога ведет в глухой,лес,район,0.011904761904761904
Дорога ведет в глухой,лес,тупик,0.03571428571428571
Дорога ведет в глухой,лес,угол,0.011904761904761904
Дорога ведет в глухой,лес,улус,0.011904761904761904
Дорога ведет в глухой,лес,хутор,0.011904761904761904
Дорога ведет в глухой,лес,человек,0.011904761904761904
На газовой плите стояла,открытая,большой,0.01639344262295082
На газовой плите стояла,открытая,кастрюля,0.8688524590163934
На газовой плите стояла,открытая,полный,0.01639344262295082
На газовой плите стояла,открытая,сковород,0.04918032786885246
На газовой плите стояла,открытая,сковородка,0.04918032786885246
В современном,обществе,мир,0.8823529411764706
В современном,обществе,общество,0.058823529411764705
В современном,обществе,читатель,0.058823529411764705
В конверте вместе с деньгами была,обнаружена,ватный,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,вещь,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,душегрейка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,еще,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,записка,0.5686274509803921
В конверте вместе с деньгами была,обнаружена,зеленый,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,картинка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,класть,0.0392156862745098
В конверте вместе с деньгами была,обнаружена,конфетка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,найти,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,открытка,0.13725490196078433
В конверте вместе с деньгами была,обнаружена,поздравительный,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,прикрепить,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,прилагательное,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,скрепка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,этот,0.0196078431372549
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,быт,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,дом,0.9230769230769231
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,крова,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,о,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,очаг,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,уголок,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,чердак,0.01282051282051282
Стала стабильнее экономическая и политическая,обстановка,обстановка,0.14285714285714285
Стала стабильнее экономическая и политическая,обстановка,система,0.07142857142857142
Стала стабильнее экономическая и политическая,обстановка,ситуация,0.7857142857142857
Власть судов была такой,узкой,безграничный,0.1
Власть судов была такой,узкой,большой,0.1
Власть судов была такой,узкой,важный,0.05
Власть судов была такой,узкой,дурной,0.05
Власть судов была такой,узкой,жестокий,0.05
Власть судов была такой,узкой,значительный,0.05
Власть судов была такой,узкой,как,0.05
Власть судов была такой,узкой,какой,0.1
Власть судов была такой,узкой,непоколебимый,0.05
Власть судов была такой,узкой,огромный,0.05
Власть судов была такой,узкой,р,0.05
Власть судов была такой,узкой,сильный,0.25
Власть судов была такой,узкой,что,0.05
Ей хотелось выплеснуть чай на бежевый,юлин,в,0.018867924528301886
Ей хотелось выплеснуть чай на бежевый,юлин,диван,0.07547169811320754
Ей хотелось выплеснуть чай на бежевый,юлин,ковер,0.1509433962264151
Ей хотелось выплеснуть чай на бежевый,юлин,костюм,0.1509433962264151
Ей хотелось выплеснуть чай на бежевый,юлин,пиджак,0.18867924528301888
Ей хотелось выплеснуть чай на бежевый,юлин,платок,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,плащ,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,плед,0.018867924528301886
Ей хотелось выплеснуть чай на бежевый,юлин,пол,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,сарафан,0.018867924528301886
Ей хотелось выплеснуть чай на бежевый,юлин,свитер,0.05660377358490566
Ей хотелось выплеснуть чай на бежевый,юлин,стол,0.11320754716981132
Ей хотелось выплеснуть чай на бежевый,юлин,сюртук,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,халат,0.05660377358490566
Шею Лизы украшало ожерелье,стоимостью,вода,0.0625
Шею Лизы украшало ожерелье,стоимостью,из,0.875
Шею Лизы украшало ожерелье,стоимостью,с,0.0625
"За углом ― Морской музей, с бесчисленными моделями",кораблей,боевой,0.029411764705882353
"За углом ― Морской музей, с бесчисленными моделями",кораблей,военный,0.029411764705882353
"За углом ― Морской музей, с бесчисленными моделями",кораблей,корабль,0.8970588235294118
"За углом ― Морской музей, с бесчисленными моделями",кораблей,рыба,0.014705882352941176
"За углом ― Морской музей, с бесчисленными моделями",кораблей,суд,0.029411764705882353
От внимания наблюдателя не должна,ускользать,болеть,0.02040816326530612
От внимания наблюдателя не должна,ускользать,быть,0.02040816326530612
От внимания наблюдателя не должна,ускользать,глагол,0.02040816326530612
От внимания наблюдателя не должна,ускользать,зависеть,0.46938775510204084
От внимания наблюдателя не должна,ускользать,кружиться,0.02040816326530612
От внимания наблюдателя не должна,ускользать,меняться,0.08163265306122448
От внимания наблюдателя не должна,ускользать,получать,0.02040816326530612
От внимания наблюдателя не должна,ускользать,скрываться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,скрыться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,страдать,0.04081632653061224
От внимания наблюдателя не должна,ускользать,уйти,0.02040816326530612
От внимания наблюдателя не должна,ускользать,укрыться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,ускользать,0.04081632653061224
От внимания наблюдателя не должна,ускользать,ускользнуть,0.10204081632653061
От внимания наблюдателя не должна,ускользать,уходить,0.02040816326530612
В числе возможных кандидатов,называют,быть,0.17647058823529413
В числе возможных кандидатов,называют,в,0.11764705882352941
В числе возможных кандидатов,называют,значиться,0.058823529411764705
В числе возможных кандидатов,называют,на,0.5882352941176471
В числе возможных кандидатов,называют,наука,0.058823529411764705
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,и,0.05263157894736842
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,интересный,0.05263157894736842
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,метр,0.05263157894736842
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,сердце,0.21052631578947367
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,центр,0.631578947368421
Мне было лень идти на стоянку и сметать,снег,в,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,весь,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,все,0.0641025641025641
Мне было лень идти на стоянку и сметать,снег,грязь,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,лист,0.05128205128205128
Мне было лень идти на стоянку и сметать,снег,мох,0.038461538461538464
Мне было лень идти на стоянку и сметать,снег,мусор,0.07692307692307693
Мне было лень идти на стоянку и сметать,снег,опасть,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,оттуда,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,пыль,0.1282051282051282
Мне было лень идти на стоянку и сметать,снег,р,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,с,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,снег,0.4358974358974359
Мне было лень идти на стоянку и сметать,снег,сог,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,стежок,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,там,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,этот,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,ягель,0.01282051282051282
За министром труда тянется целый,шлейф,ворох,0.0625
За министром труда тянется целый,шлейф,перечень,0.0625
За министром труда тянется целый,шлейф,подобный,0.0625
